Filename,MSE,PSNR (dB),Compression Ratio
breast_image_221_color.png,233.46,24.45,1.39
breast_image_222_gray.png,74.78,29.39,0.66
breast_image_223_color.png,230.37,24.51,1.37
breast_image_224_gray.png,75.06,29.38,0.66
breast_image_225_color.png,234.71,24.43,1.39
breast_image_226_gray.png,75.50,29.35,0.66
breast_image_227_color.png,228.51,24.54,1.37
breast_image_228_gray.png,75.29,29.36,0.66
breast_image_229_color.png,229.22,24.53,1.38
breast_image_22_gray.png,75.16,29.37,0.66
breast_image_230_gray.png,75.06,29.38,0.66
breast_image_231_color.png,233.08,24.46,1.38
breast_image_232_gray.png,73.98,29.44,0.66
breast_image_233_color.png,233.43,24.45,1.39
breast_image_234_gray.png,75.18,29.37,0.66
breast_image_235_color.png,229.19,24.53,1.37
breast_image_236_gray.png,75.50,29.35,0.66
breast_image_237_color.png,234.08,24.44,1.39
breast_image_238_gray.png,72.78,29.51,0.66
breast_image_239_color.png,228.45,24.54,1.37
breast_image_23_color.png,230.05,24.51,1.37
breast_image_240_gray.png,74.67,29.40,0.66
breast_image_241_color.png,233.90,24.44,1.39
breast_image_242_gray.png,75.25,29.37,0.66
breast_image_243_color.png,233.92,24.44,1.39
breast_image_244_gray.png,75.32,29.36,0.66
breast_image_245_color.png,233.58,24.45,1.38
breast_image_246_gray.png,74.86,29.39,0.66
breast_image_247_color.png,235.27,24.42,1.39
breast_image_248_gray.png,74.77,29.39,0.66
breast_image_249_color.png,233.57,24.45,1.38
breast_image_24_gray.png,74.92,29.39,0.66
breast_image_250_gray.png,74.70,29.40,0.66
breast_image_251_color.png,232.64,24.46,1.39
breast_image_252_gray.png,73.73,29.45,0.65
breast_image_253_color.png,230.39,24.51,1.37
breast_image_254_gray.png,75.21,29.37,0.66
breast_image_255_color.png,233.57,24.45,1.38
breast_image_256_gray.png,75.41,29.36,0.66
breast_image_257_color.png,233.05,24.46,1.39
breast_image_258_gray.png,74.72,29.40,0.66
breast_image_259_color.png,233.22,24.45,1.39
breast_image_25_color.png,235.23,24.42,1.39
breast_image_260_gray.png,72.89,29.50,0.66
breast_image_261_color.png,234.19,24.44,1.39
breast_image_262_gray.png,75.18,29.37,0.66
breast_image_263_color.png,234.03,24.44,1.39
breast_image_264_gray.png,74.50,29.41,0.66
breast_image_265_color.png,228.94,24.53,1.37
breast_image_266_gray.png,73.73,29.45,0.66
breast_image_267_color.png,231.31,24.49,1.37
