Filename,MSE,PSNR (dB),Compression Ratio
breast_image_91_color.png,234.39,24.43,1.39
breast_image_92_gray.png,73.35,29.48,0.66
breast_image_93_color.png,234.12,24.44,1.39
breast_image_94_gray.png,73.35,29.48,0.66
breast_image_95_color.png,234.77,24.42,1.39
breast_image_96_gray.png,73.42,29.47,0.65
breast_image_97_color.png,235.59,24.41,1.38
breast_image_98_gray.png,74.86,29.39,0.66
breast_image_99_color.png,232.65,24.46,1.39
breast_image_9_color.png,230.12,24.51,1.37
AVERAGE,153.65,26.94,1.02
